OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_149	7	144	0	18	34	9	47	42	21	6	5	26	59	8	95	17	14	14
ASV_172	30	24	7	14	10	16	99	49	47	73	37	143	7	4	17	8	9	15
ASV_173	3	2	0	480	0	0	6	23	1	4	0	20	2	1	1	1	1	0
ASV_167	31	42	30	53	51	41	29	11	37	22	26	31	20	24	21	34	24	16
ASV_164	39	32	18	17	3	18	81	40	37	32	28	75	32	14	30	14	21	44
ASV_170	31	25	35	19	16	33	49	30	34	32	34	43	22	33	37	27	14	44
ASV_152	13	37	18	17	29	48	20	21	23	35	12	15	44	21	78	34	44	27
ASV_240	24	30	20	26	18	32	35	42	44	36	31	34	31	37	37	27	14	37
ASV_181	44	27	20	15	9	26	41	25	22	28	38	48	37	32	38	41	22	36
ASV_174	9	10	2	4	4	2	17	57	16	36	17	6	6	6	25	255	66	3
ASV_182	43	16	32	29	48	82	24	8	19	23	30	38	10	36	8	47	33	17
ASV_195	31	38	36	47	33	44	38	20	22	28	21	46	9	19	22	31	25	16
ASV_190	25	9	50	19	66	37	15	42	9	7	28	11	75	12	15	22	41	36
ASV_742	19	26	50	48	22	20	31	32	35	15	20	27	29	28	41	24	23	30
ASV_169	33	13	7	12	32	17	54	44	16	24	14	17	80	39	31	21	18	58
ASV_243	25	105	8	9	12	28	10	17	13	23	37	39	88	13	18	14	29	28
ASV_186	23	33	25	14	10	16	30	45	17	40	13	38	47	27	25	22	52	33
ASV_330	20	18	38	28	67	51	14	21	15	25	62	19	34	10	20	28	29	20
ASV_161	4	20	0	3	0	1	9	6	15	319	26	9	21	9	14	64	1	5
ASV_183	55	15	57	1	17	31	29	115	4	85	29	24	3	31	9	0	11	12
ASV_178	29	57	24	20	16	17	20	51	30	29	28	25	29	39	26	27	14	26
ASV_160	29	29	13	30	18	55	22	25	30	18	69	29	30	20	13	27	24	13
ASV_175	84	14	42	31	85	73	5	4	16	12	10	0	17	13	17	13	23	32
ASV_185	46	27	39	58	24	46	14	10	34	20	6	11	47	17	9	9	29	21
ASV_237	50	30	22	30	15	33	17	20	24	21	22	16	16	42	28	45	22	27
ASV_187	47	19	35	53	36	66	8	8	13	13	19	29	15	20	12	24	30	23
ASV_192	31	14	23	45	45	42	13	21	22	23	17	17	20	37	19	28	34	21
ASV_165	9	105	37	3	1	19	14	2	88	8	1	79	47	14	4	13	0	36
ASV_1654	16	47	12	20	9	20	46	28	37	24	25	34	25	20	28	32	14	34
ASV_184	25	21	47	52	44	35	16	6	39	15	23	13	16	21	23	19	24	17
ASV_177	16	4	12	59	5	12	48	17	26	29	5	54	73	61	18	14	10	7
ASV_200	28	17	5	11	18	19	12	9	17	32	4	4	116	15	12	21	87	23
ASV_188	23	40	16	7	33	46	25	29	9	39	14	14	30	22	25	23	23	17
ASV_217	22	3	7	12	25	4	11	87	58	94	12	9	19	10	33	12	9	27
ASV_223	107	15	6	8	83	3	12	8	26	3	9	7	44	7	72	21	6	12
ASV_202	2	9	3	6	28	23	15	98	9	63	28	96	1	4	19	11	25	29
ASV_209	27	31	50	2	12	20	11	45	9	28	16	16	56	9	37	32	10	29
ASV_198	22	58	13	61	5	50	22	19	19	21	23	16	17	20	30	19	10	15
ASV_224	35	90	6	13	5	17	29	47	20	12	11	27	23	31	32	14	10	24
ASV_204	14	9	13	6	5	3	28	19	37	28	16	28	28	53	36	44	35	34
ASV_207	33	22	36	30	16	29	22	30	15	18	27	18	15	27	18	22	25	23
ASV_213	31	27	31	19	17	15	19	13	20	14	30	25	16	35	30	46	16	21
ASV_248	28	33	16	28	9	30	44	32	25	27	20	40	21	12	21	13	10	17
ASV_203	17	8	10	23	6	13	39	13	27	17	27	35	15	32	40	24	30	48
ASV_246	24	21	7	3	12	13	48	26	31	65	19	111	3	5	11	13	4	17
ASV_199	36	26	7	12	18	23	36	13	13	27	34	24	32	36	31	14	19	20
ASV_215	21	41	54	9	1	26	15	14	41	19	9	13	13	17	28	32	53	12
ASV_210	27	27	10	15	23	13	37	38	15	25	18	33	7	14	38	23	22	28
ASV_219	16	20	32	37	15	16	22	29	14	28	20	24	20	12	29	29	19	15
ASV_194	18	35	10	17	35	14	19	24	14	35	18	21	29	15	31	23	16	33
ASV_201	77	21	20	31	82	36	7	4	9	11	6	3	16	13	12	12	11	21
ASV_2195	18	41	17	21	10	16	35	38	15	44	21	32	21	11	27	9	13	22
ASV_235	17	40	36	4	2	5	28	30	19	22	27	15	16	29	41	30	5	41
ASV_218	15	22	0	138	13	32	13	10	10	7	11	11	15	14	55	4	0	11
ASV_227	15	32	20	14	10	21	33	39	15	19	23	21	16	10	25	36	12	52
ASV_212	15	15	28	27	26	26	19	15	25	24	26	16	19	15	41	24	19	23
ASV_191	13	9	4	12	2	5	31	21	29	39	49	8	19	61	25	37	13	25
ASV_208	18	10	4	1	3	44	26	35	9	14	19	25	31	9	7	25	67	48
ASV_238	15	42	28	17	31	39	22	18	11	11	21	20	16	14	20	20	29	19
ASV_245	18	28	54	10	4	18	39	25	21	15	21	36	9	8	21	15	20	31
ASV_216	27	58	10	27	4	9	25	33	20	26	29	21	32	8	21	15	8	20
ASV_279	12	39	16	28	7	15	23	31	24	16	20	22	37	5	30	16	17	31
ASV_222	25	7	38	5	2	13	23	15	22	21	33	25	13	36	32	18	15	45
ASV_225	10	9	23	29	53	9	8	9	13	28	16	9	16	71	13	7	29	8
ASV_345	22	27	4	17	10	14	39	42	28	23	20	31	21	8	31	12	10	27
ASV_1351	25	23	17	20	3	19	11	29	29	20	20	39	44	11	14	36	9	14
ASV_233	28	17	34	32	16	17	17	15	40	10	13	18	15	25	19	33	18	9
ASV_234	20	28	17	16	20	36	15	11	23	18	17	23	18	29	25	24	16	12
ASV_274	26	28	18	28	93	11	6	12	17	5	19	10	36	11	22	16	11	4
ASV_221	16	35	0	3	40	57	3	72	7	10	15	6	3	40	40	17	2	3
ASV_231	17	24	14	15	6	6	5	7	132	11	29	6	10	7	12	14	33	26
ASV_244	37	12	121	6	4	4	22	18	28	10	11	40	17	3	12	7	0	22
ASV_214	29	19	17	11	9	12	38	14	17	28	31	34	9	36	35	20	9	18
ASV_236	9	33	15	29	12	13	21	32	25	16	34	27	18	23	19	15	26	17
ASV_220	23	13	32	13	64	16	22	26	8	12	14	7	21	17	16	15	18	17
ASV_205	18	20	19	16	22	14	15	24	20	26	14	22	35	31	27	29	11	13
ASV_229	13	21	13	7	8	14	26	13	11	16	27	24	18	30	29	28	30	38
ASV_289	16	10	13	6	7	9	18	47	31	26	30	37	16	7	19	42	9	25
ASV_242	21	33	13	19	7	29	17	14	22	16	25	25	22	28	35	12	7	19
ASV_276	26	10	19	32	8	14	36	9	19	15	17	21	12	10	27	30	27	26
ASV_249	12	14	16	19	52	17	16	13	11	19	16	18	26	41	11	12	19	14
ASV_421	21	5	8	11	10	11	9	13	36	42	16	36	13	35	33	45	7	19
ASV_228	21	27	19	9	19	11	17	23	12	23	27	20	21	35	23	8	28	17
ASV_252	7	10	20	41	24	12	26	10	9	13	13	28	8	34	30	14	23	23
ASV_250	27	12	2	7	25	11	20	8	12	16	25	23	22	20	27	20	40	32
ASV_288	14	20	19	16	14	20	22	28	13	11	29	31	25	25	22	16	15	19
ASV_258	11	9	14	66	45	7	1	7	60	30	5	7	16	28	6	5	25	8
ASV_254	82	22	1	1	37	5	41	11	20	29	8	31	12	3	35	6	8	13
ASV_265	18	15	21	32	8	6	25	18	25	19	20	33	20	17	20	7	14	31
ASV_251	39	22	36	31	19	56	9	4	11	6	10	7	20	17	14	19	17	14
ASV_259	24	13	10	9	12	10	32	12	17	19	22	29	30	24	32	21	11	25
ASV_261	11	19	5	6	5	15	13	9	11	6	56	22	85	26	8	7	19	20
ASV_230	16	11	11	21	23	10	10	6	24	25	13	15	26	54	17	17	17	28
ASV_263	8	25	12	24	34	26	14	33	28	17	13	25	18	7	25	13	6	17
ASV_273	12	38	24	27	7	4	31	18	18	12	14	27	28	7	27	24	8	15
ASV_247	12	5	4	4	1	3	26	18	36	32	28	18	29	41	21	29	22	23
