OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_1186	6	3	1	2	5	2	9	6	6	3	4	4	5	3	4	2	6	2
OTU_2636	1	0	0	0	0	0	2	0	2	0	2	1	1	2	1	0	0	2
OTU_332	6	14	9	6	4	5	43	17	30	10	9	12	5	11	15	8	10	14
OTU_165	27	13	5	10	32	15	48	43	14	21	11	15	73	38	26	17	15	49
OTU_340	25	8	3	6	2	12	23	10	12	9	21	26	13	7	9	14	11	15
OTU_270	26	6	29	20	24	11	5	8	3	23	22	16	11	18	16	23	17	15
OTU_218	15	22	28	35	13	17	18	26	12	26	20	21	20	11	25	26	20	14
OTU_435	10	8	0	0	1	11	16	14	6	7	4	5	1	2	8	0	44	23
OTU_233	13	19	16	9	11	14	24	13	12	18	23	22	16	24	24	23	26	35
OTU_716	4	8	13	6	0	5	3	7	5	9	4	2	11	7	3	5	0	3
OTU_2458	2	1	1	1	0	0	3	3	1	4	0	1	4	1	4	4	5	3
OTU_357	14	13	49	2	1	6	11	10	10	4	9	14	6	5	15	10	3	11
OTU_100	77	78	10	23	25	48	91	48	50	43	61	96	46	28	57	32	43	55
OTU_1413	6	6	0	2	2	2	1	7	3	4	8	2	3	3	5	1	0	1
OTU_304	28	16	19	38	20	21	18	15	22	13	18	17	13	7	13	11	16	19
OTU_948	15	13	0	1	0	0	5	4	3	25	1	2	2	0	2	4	1	1
OTU_518	7	17	7	6	2	4	7	13	8	10	8	6	12	5	10	6	9	10
OTU_184	49	25	38	55	31	49	14	12	31	20	6	13	46	21	11	9	36	20
OTU_934	10	3	4	0	2	2	0	0	3	3	2	3	14	0	4	5	1	5
OTU_1639	6	0	4	13	0	2	4	2	0	1	3	3	3	0	2	1	2	0
OTU_1485	5	3	1	0	0	0	0	1	1	0	0	1	1	16	1	0	0	1
OTU_1691	2	0	0	2	2	3	3	3	3	0	2	0	2	2	4	0	1	1
OTU_608	33	21	14	15	4	6	27	24	16	17	13	29	21	13	15	22	12	22
OTU_2541	1	0	0	0	0	0	3	1	3	0	1	3	2	0	2	0	0	3
OTU_173	29	17	38	21	40	25	18	17	33	24	19	17	14	34	20	25	21	20
OTU_1400	2	3	4	2	1	2	3	3	2	2	6	2	3	1	1	2	0	1
OTU_362	28	14	15	2	9	21	22	16	4	6	12	25	10	11	8	8	10	13
OTU_57	54	44	78	29	266	59	167	109	56	87	64	33	128	64	108	90	55	164
OTU_177	21	30	22	22	15	26	30	39	30	24	24	44	21	23	45	21	15	39
OTU_133	48	38	29	59	28	42	26	21	41	34	30	40	39	27	40	24	27	30
OTU_12	29	97	479	252	149	171	172	645	575	422	316	110	224	225	187	160	366	470
OTU_1095	3	6	2	2	0	0	4	4	4	1	3	7	2	1	2	2	2	2
OTU_1978	2	2	0	0	1	1	2	2	2	0	0	5	2	1	1	2	1	4
OTU_147	32	14	23	26	16	31	24	16	38	28	31	24	30	54	49	69	45	34
OTU_1828	2	1	2	2	1	2	2	1	1	2	1	1	4	0	2	0	1	2
OTU_314	16	27	6	18	9	9	11	13	14	7	10	14	19	8	17	12	5	18
OTU_54	145	292	94	129	123	229	167	144	60	121	88	122	81	35	123	54	118	165
OTU_442	12	10	9	6	15	15	10	12	6	15	17	18	4	3	11	13	5	15
OTU_38	113	47	63	169	118	176	43	32	182	128	85	124	175	472	57	101	118	74
OTU_276	23	12	19	28	8	11	33	8	18	13	16	19	13	11	26	22	23	24
OTU_2870	2	0	0	1	0	0	0	0	0	1	0	3	2	0	0	0	0	3
OTU_1373	4	2	0	3	0	2	4	3	3	1	5	3	3	2	2	2	1	4
OTU_171	78	18	37	29	81	68	4	4	15	11	8	0	17	11	14	10	19	28
OTU_28	104	92	263	156	291	194	96	153	78	104	146	60	135	166	89	144	248	160
OTU_615	12	12	7	18	13	7	17	13	8	16	7	13	10	7	14	8	2	6
OTU_420	11	19	5	13	9	7	18	9	16	6	9	15	6	10	6	5	8	10
OTU_123	51	52	31	44	46	50	32	15	35	27	35	34	31	35	40	31	36	30
OTU_903	3	1	7	0	1	1	4	2	5	1	3	4	2	4	2	2	3	6
OTU_687	6	14	13	3	3	5	1	5	6	4	2	3	6	6	6	8	1	7
OTU_838	7	3	23	2	0	5	7	4	3	1	2	1	0	2	6	2	2	4
