ID	Untrt_N61311	Untrt_N052611	Untrt_N080611	Untrt_N061011	Trt_N61311	Trt_N052611	Trt_N080611	Trt_N061011
ENSG00000124212	11119	17195.9	5150.9	15947.8	7808.2	10736	3223.2	9297.9
ENSG00000174437	6280.3	6249.6	5518.8	5252	12614	14661.9	22046.6	11559.5
ENSG00000245532	15135.2	25800.6	19389.5	21316.8	10851	21071	14392.5	14072.7
ENSG00000111640	29233.2	29233.3	26472.3	22805	24203.3	22312.5	32101.3	19349.4
ENSG00000198467	9930.2	16774	14447.2	13202.1	18365	26074.5	29130.1	17769.5
ENSG00000140545	4437.2	5854	7276.1	6192.2	11578.1	12104.2	13974.4	13993.4
ENSG00000120708	6095.2	11499.5	19335.2	12884.7	3395.1	9488.4	15865.9	9936.3
ENSG00000071967	22014.8	27927	32659.1	30706.3	24236.9	34542	34577	38485.3
ENSG00000035862	35949.3	41157.3	42310.7	38479.8	35091.2	52515.7	45072	42601.7
ENSG00000128595	19332.5	28619.1	25837.4	22891.6	21452.5	28913.9	28019	23566.1
ENSG00000188783	10956.5	17947.3	10144.9	15112.7	8142.7	19088.6	12506	16136.7
ENSG00000169504	12613.4	13530.2	10023.7	13567.1	17927.6	25008.8	19122.7	23386.5
ENSG00000101335	9198.6	17545.8	14743	11835.2	12901.5	22314	24465.8	16382.9
ENSG00000164733	22785.5	24118.1	36214.6	19989.9	28013.5	28177.6	37253.9	23044.1
ENSG00000108828	14984.3	15438	12575.4	15890.4	8152.8	10964	7962.7	11561.7
ENSG00000109971	16973.3	22027.3	29674.3	18290.5	15258.5	19118.4	22842.8	15803.8
ENSG00000174807	17710.7	17060.3	13507	15065	16731.8	8607.5	6555.1	7513
ENSG00000166147	52972.6	73148.2	66989.2	62521.7	66546.8	57225.7	61113.3	67275.3
ENSG00000071242	7194	7674.5	8909.7	6472.7	13416.1	12517.1	17812.6	13835.9
ENSG00000138735	7993.1	12163.7	7497.4	9985.2	3401.8	5999.2	3506.7	3892.3
ENSG00000169604	10999.6	13943.6	17804.2	11365.1	11438.3	14951	18502	15273.2
ENSG00000130402	9229.9	10875.1	9454	8993.1	13496.6	15204.4	22742.5	15967.6
ENSG00000163520	21004.1	22426.3	14348.8	23214.4	17741.9	18444.7	13682.3	22987
ENSG00000162614	1736.3	2263.6	1829.4	2396.9	8219.9	9522.7	7100	8738.9
ENSG00000136156	10971.2	12874.5	10790.9	13831.4	16881.7	18307.6	14010.2	20445.3
ENSG00000159674	13266.6	6694.3	15472.9	9837.9	9326.3	3551.8	5392.5	4783.2
ENSG00000137076	15401.5	15999.7	15363.6	15065	20515.1	21030.7	26914.3	22864.4
ENSG00000134333	10486.4	10438.8	9552.3	7158.3	15255.2	15457.8	26305	14034.6
ENSG00000124762	14189.1	8486.1	11168.1	8609.7	7120.3	4061.6	5497	4441.8
ENSG00000196230	13630.9	11282.6	9552.3	7691.2	5996	3936.4	5935.1	3025.7
ENSG00000183087	4762.4	9907.7	15122.8	6517.1	6198.5	10652.5	21652.2	8419.7
ENSG00000166741	1681.5	2012	2099.8	1257.5	8337.4	7200.5	7634.8	7227.6
ENSG00000067225	24647.1	24306.2	25846.7	20776.3	19104.5	18690.7	23379.7	14011.4
ENSG00000138119	11210.1	13236.2	16466.5	16010.6	12401.5	15095.6	20175.2	23385.4
ENSG00000167552	10793.9	9598.5	8686.8	6521.4	4507.1	3173.2	4507.6	2527.9
ENSG00000044574	15832.4	16410.6	13847.8	11087.8	14581.7	10984.9	28827.3	7928.3
ENSG00000187134	5219.7	6156.4	8672.4	5309.4	16339.1	11232.3	7149.4	16788.7
ENSG00000113083	8183.1	13480.2	8243.4	10716.3	10204.4	20169.2	10996.8	15845
ENSG00000080824	15073.5	17642.3	20772.1	14846.2	11916	12450	15198	12000.2
ENSG00000138356	1342.6	2068.8	4086.1	1920.4	5558.6	5043.8	7757.2	7469.6
ENSG00000211459	6831.6	11890.1	23057.7	7765.9	6868.6	10801.5	16935.5	8948.1
ENSG00000111799	43704.4	51354.7	52347.9	40464	36140.5	40325.1	43150.4	38591
ENSG00000026025	31248.6	31192	32687.1	35943.1	22915.7	32051.4	18602.3	27612.7
ENSG00000145390	1857.7	3554.7	1434.4	4440.8	8791.5	20629.8	3923.3	22468.1
ENSG00000164442	3171	3943.6	3095.9	4328.1	9169.6	11481.2	6933.2	17142.8
ENSG00000174444	32484.5	29562.9	27679.5	25277.7	35536.4	26113.3	24589.7	23879
ENSG00000119139	1859.7	2950.7	2016.8	2012.4	5879.7	11877.7	7031.2	10050.4
ENSG00000168398	7324.2	7027.3	10487.4	6613.5	2718.3	1155.1	2845.9	1173.1
ENSG00000152377	3038.8	3631	7147.3	4735.4	5594.4	9202.2	10174.2	8434.5
ENSG00000142798	10827.2	18154	9845.6	15626.1	11888	12156.4	14078.9	16338.5
ENSG00000119681	34309	33094.8	24681.9	30187.5	27491	24156.3	25387.2	26138.4
ENSG00000198763	18635.2	22081.5	25381.3	19162.4	21977.2	31210.7	23940.3	20324.9
ENSG00000150687	9468.9	13053.2	5473.9	7289.4	4654.7	9093.4	3644.1	4347.8
ENSG00000147403	20921.9	13316.7	13558.7	16311.7	21667.3	12830.1	15339.7	16280.4
ENSG00000197958	15476.9	12790.6	14467.5	10702.2	15489	9949	12595.5	9956.3
ENSG00000067167	8929.3	12024.8	11559.8	10012.3	13204.6	18242	21105.9	14732.1
ENSG00000102265	13809.2	16159.8	18755.4	20522.8	9081.3	16770.9	16381.4	14039.9
ENSG00000108582	4392.2	6951	5581.5	7587.2	5059.7	11300.9	9743.9	10582
ENSG00000173517	4943.5	5878.5	4824.5	5713.4	10243.6	9810.4	9492.6	13123.6
ENSG00000049540	4038.7	6397	2291.4	6008	8721.1	9305.1	4378	14083.2
ENSG00000166598	18617.6	19869.6	16351.2	14414.1	15044.8	13943.5	22487.7	10964.6
ENSG00000089157	43127.6	31592.7	25735.7	29338.3	50178.6	29592.1	26932.2	30950.2
